id,scenarioname,periodname,facilityname,productname,activitytype,cost,quantity,perunitcost,perunittransportationcost,perunitshipmentcost,perunitintransitholdingcost,perunitdutycost,perunitproductioncost,perunitprebuildholdingcost,perunitturnestimatedholdingcost,perunitstoragecost,perunitsourcingcost,perunitfacilityfixedoperatingcost,perunitfacilityfixedstartupcost,perunitfacilityfixedclosingcost,perunitworkcenterfixedoperatingcost,perunitworkcenterfixedstartupcost,perunitworkcenterfixedclosingcost,perunitinboundhandlingcost,perunitoutboundhandlingcost,perunitprocesscost,perunituserdefinedcost,latitude,longitude
455,3. All 4 MFGs,SinglePeriod,DC_Detroit,FG_0002,Facility,59611237.59024556,4637.0,12855.561265957636,5269.752573081319,0.0,0.0,0.0,4347.640909984905,0.0,0.0,0.0,0.0,2938.167782891411,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,42.331551,-83.04664
456,3. All 4 MFGs,SinglePeriod,DC_Detroit,FG_0001,FacilityPostFixedCost,37118077.6900417,4121.0,9007.055979141398,3240.069374753006,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1304.468815999158,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,42.331551,-83.04664
457,3. All 4 MFGs,SinglePeriod,DC_Detroit,FG_0002,FacilityPostFixedCost,59611237.59024556,4637.0,12855.561265957636,5269.752573081319,0.0,0.0,0.0,4347.640909984905,0.0,0.0,0.0,0.0,2938.167782891411,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,42.331551,-83.04664
480,4. Max Emissions Cap,NA,UnassignableEnd,NA,,9500000.0,1.0,9500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
481,4. Max Emissions Cap,SinglePeriod,MFG_Shanghai,FG_0001,Facility,875297.0996051756,257.440323413287,3400.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
482,4. Max Emissions Cap,SinglePeriod,MFG_Belo Horizonte,FG_0001,Facility,15454238.706346853,3863.559676586713,4000.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.9227,-43.9451
483,4. Max Emissions Cap,SinglePeriod,MFG_Shanghai,FG_0002,Facility,19707250.0,4637.0,4250.0,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
484,4. Max Emissions Cap,SinglePeriod,MFG_Shanghai,FG_0001,FacilityPostFixedCost,1111990.4452810893,257.440323413287,4319.410535761072,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
485,4. Max Emissions Cap,SinglePeriod,MFG_Belo Horizonte,FG_0001,FacilityPostFixedCost,20454238.70634686,3863.559676586713,5294.14333375,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1294.14333375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.9227,-43.9451
486,4. Max Emissions Cap,SinglePeriod,MFG_Shanghai,FG_0002,FacilityPostFixedCost,23970556.65432409,4637.0,5169.410535761072,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
487,4. Max Emissions Cap,SinglePeriod,Port_Hong Kong,FG_0001,Facility,1456975.3106775915,257.440323413287,5659.468149201348,1340.057613440276,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
